City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Atuona,PF,78.62,clear sky,-9.8,-139.03,Villa Enata
3,Kantunilkin,MX,89.6,scattered clouds,21.09,-87.45,Posada Paraiso
9,Victoria,HK,78.01,light rain,22.29,114.16,Mini Hotel Central
10,Praia Da Vitoria,PT,77.0,scattered clouds,38.73,-27.07,Hotel Branco I
17,Namatanai,PG,79.07,light rain,-3.67,152.43,Namatanai Hotel
21,Seoul,KR,78.8,thunderstorm,37.57,126.98,LOTTE HOTEL SEOUL
22,Butaritari,KI,82.56,clear sky,3.07,172.79,Isles Sunset Lodge
24,Alice Town,BS,84.45,light rain,25.72,-79.3,Bimini Big Game Club Resort & Marina
26,Marsh Harbour,BS,83.3,overcast clouds,26.54,-77.06,Abaco Beach Resort
28,Nagua,DO,87.8,scattered clouds,19.38,-69.85,Hotel Cambri
31,Hithadhoo,MV,83.03,scattered clouds,-0.6,73.08,Scoop Guest House
34,Ribeira Grande,PT,75.2,few clouds,38.52,-28.7,Quinta da Meia Eira
35,Yecla,ES,82.0,clear sky,38.61,-1.11,Hotel Avenida
36,Kapaa,US,82.4,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
38,Flin Flon,CA,75.2,scattered clouds,54.77,-101.86,Victoria Inn Flin Flon
43,Georgetown,MY,84.0,few clouds,5.41,100.34,Cititel Penang
44,Lompoc,US,78.01,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
47,North Bend,US,82.0,clear sky,43.41,-124.22,Red Lion Hotel Coos Bay
55,Denpasar,ID,75.2,few clouds,-8.65,115.22,ASTON Denpasar Hotel & Convention Center
58,Parati,BR,77.0,few clouds,-23.22,-44.71,Che Lagarto Hostel Paraty
63,Bengkulu,ID,75.18,light rain,-3.8,102.27,Grage Hotel Bengkulu
68,Yellowknife,CA,77.0,broken clouds,62.46,-114.35,The Explorer Hotel
72,Boa Vista,BR,86.0,scattered clouds,2.82,-60.67,Aipana Plaza Hotel
77,Lorengau,PG,82.08,light rain,-2.02,147.27,Lorengau Harbourside Hotel
78,Hilo,US,82.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
79,Dasoguz,TM,80.6,clear sky,41.84,59.97,Hotel Erik
80,Korla,CN,79.0,overcast clouds,41.76,86.15,Gulisitan Hotel
82,Touros,BR,78.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
87,Thanh Hoa,VN,76.1,overcast clouds,19.8,105.77,KHÁCH SẠN NGỌC LY 8
89,Portland,US,82.99,broken clouds,45.52,-122.68,Portland Marriott City Center
93,Horadiz,AZ,75.2,scattered clouds,39.45,47.34,Horadiz Olympic Center
100,Dabhoi,IN,83.12,overcast clouds,22.18,73.43,Machhiwad
105,Hobyo,SO,79.14,broken clouds,5.35,48.53,Osmani Hotel
108,Saint-Georges,GD,86.0,few clouds,12.06,-61.75,Siesta Hotel
110,Sao Filipe,CV,78.67,overcast clouds,14.9,-24.5,Tortuga B&B
111,Savannah Bight,HN,84.18,broken clouds,16.45,-85.85,Villa on Dunbar Rock
115,Dhidhdhoo,MV,82.51,moderate rain,6.88,73.1,Dhidhoo beach
116,Guiren,CN,80.29,overcast clouds,33.67,118.19,Suyuan Hotel
118,Praia,CV,84.2,few clouds,14.92,-23.51,LT Aparthotel
119,Zaraza,VE,82.8,light rain,9.35,-65.32,Hotel Zaraza
120,Bethel,US,84.0,broken clouds,41.37,-73.41,Courtyard by Marriott Danbury
121,Chardara,KZ,78.31,clear sky,41.25,67.97,Жанаргул
122,Monroe,US,87.01,broken clouds,43.15,-77.68,Staybridge Suites Rochester University
123,Pemangkat,ID,77.85,overcast clouds,1.17,108.97,Kost H.Syamsuddin
127,Naze,JP,75.2,mist,28.37,129.48,奄美ポートタワーホテル
132,Thompson,CA,75.2,few clouds,55.74,-97.86,Burntwood Hotel
133,Fort Nelson,CA,75.2,broken clouds,58.81,-122.7,The Fort Nelson Hotel
136,Puerto Ayora,EC,77.0,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
142,Beckley,US,80.6,few clouds,37.78,-81.19,"Country Inn & Suites by Radisson, Beckley, WV"
147,Estelle,US,86.0,light rain,29.85,-90.11,Comfort Inn Marrero - New Orleans West
150,Huntsville,US,87.01,scattered clouds,34.73,-86.59,Embassy Suites by Hilton Huntsville Hotel & Spa
154,Gwadar,PK,83.61,clear sky,25.12,62.33,Sadaf Resort
155,Frontera Comalapa,MX,86.32,light rain,15.65,-92.13,Hotel del Angel
156,Lins,BR,78.8,clear sky,-21.68,-49.74,Blue Tree Thermas de Lins
157,Sibenik,HR,81.0,scattered clouds,43.73,15.91,Hotel Jadran
170,Athabasca,CA,76.8,clear sky,54.72,-113.29,Athabasca Lodge Motel
171,Keningau,MY,77.0,few clouds,5.34,116.16,Sabindo Hotel
172,Mantua,IT,78.01,light rain,45.17,10.78,Hotel la Favorita
175,Broome,US,89.01,few clouds,42.25,-75.83,Chenango Valley State Park
183,Muisne,EC,80.6,shower rain,0.6,-80.03,Quinta Samay
184,Kirkwood,US,86.0,broken clouds,38.58,-90.41,Holiday Inn St Louis SW - Route 66
187,Road Town,VG,87.8,scattered clouds,18.42,-64.62,"ZINGARA 76ft Catamaran, full crew-all included"
188,Kokopo,PG,77.63,broken clouds,-4.35,152.26,Kokopo Beach Bungalow Resort
189,Kirakira,SB,78.89,few clouds,-10.45,161.92,SanBiz Lodge
191,Dingle,PH,76.48,overcast clouds,11.0,122.67,Camp Pasica
198,Westport,US,84.99,broken clouds,41.14,-73.36,The Westport Inn
200,Sept-Iles,CA,78.8,broken clouds,50.2,-66.38,Comfort Inn
201,Adra,ES,86.0,few clouds,36.75,-3.02,Camping Adra
203,Meulaboh,ID,76.93,light rain,4.14,96.13,Kost Pria
204,Jardim,BR,87.76,clear sky,-21.48,-56.14,Hotel Estância
205,Neiafu,TO,75.2,broken clouds,-18.65,-173.98,Mystic Sands
206,Yarmouth,US,80.6,clear sky,41.71,-70.23,The Inn At Cape Cod
212,Cayenne,GF,86.0,broken clouds,4.93,-52.33,Hôtel Le Dronmi
217,Urumqi,CN,82.99,light intensity shower rain,43.8,87.6,Hua Ling Grand Hotel Urumqi
218,Aracati,BR,82.54,scattered clouds,-4.56,-37.77,Motel Pousada Milleniun - Aracati-CE
219,Tamiahua,MX,88.34,few clouds,21.27,-97.45,Mission Of The Sun Hotel
222,Laguna,US,89.01,broken clouds,38.42,-121.42,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
223,Ambon,ID,77.2,broken clouds,-3.7,128.18,Swiss-Belhotel Ambon
224,Ca Mau,VN,77.83,light rain,9.18,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
227,Cozumel,MX,89.6,broken clouds,20.51,-86.95,Cozumel Palace® All Inclusive Resort
230,Akyab,MM,83.34,light rain,20.15,92.9,Hotel Memory
232,Kindu,CD,79.5,broken clouds,-2.95,25.95,Hotel Karibu
236,Mairwa,IN,88.5,overcast clouds,26.23,84.15,Shri Krishna Dharmshala
