City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Country,Date
0,Hermanus,-34.42,19.23,60.55,70,0,5.75,clear sky,ZA,2020-08-02 20:19:04
1,Atuona,-9.8,-139.03,78.62,76,0,16.93,clear sky,PF,2020-08-02 20:19:04
2,Ushuaia,-54.8,-68.3,41.0,75,20,19.46,few clouds,AR,2020-08-02 20:19:04
3,Kantunilkin,21.09,-87.45,89.6,66,40,8.05,scattered clouds,MX,2020-08-02 20:19:05
4,Upernavik,72.79,-56.15,44.11,69,99,7.47,overcast clouds,GL,2020-08-02 20:19:05
5,Norman Wells,65.28,-126.83,69.8,73,40,8.05,scattered clouds,CA,2020-08-02 20:19:05
6,Green Valley,31.85,-110.99,100.99,19,1,10.29,clear sky,US,2020-08-02 20:19:05
7,Lagoa,39.05,-27.98,71.71,80,0,16.15,clear sky,PT,2020-08-02 20:19:05
8,Albany,42.6,-73.97,86.0,63,75,12.08,light rain,US,2020-08-02 20:19:05
9,Victoria,22.29,114.16,78.01,94,100,8.01,light rain,HK,2020-08-02 20:14:21
10,Praia Da Vitoria,38.73,-27.07,77.0,65,40,10.76,scattered clouds,PT,2020-08-02 20:19:05
11,Punta Arenas,-53.15,-70.92,42.8,70,12,14.99,few clouds,CL,2020-08-02 20:19:05
12,Vaini,-21.2,-175.2,73.4,88,75,9.17,broken clouds,TO,2020-08-02 20:19:05
13,Montepuez,-13.13,39.0,65.21,82,8,6.53,clear sky,MZ,2020-08-02 20:19:05
14,Popova,42.96,131.72,71.6,100,40,2.24,scattered clouds,RU,2020-08-02 20:19:06
15,Tuktoyaktuk,69.45,-133.04,48.2,87,90,18.34,light rain,CA,2020-08-02 20:19:06
16,Qaanaaq,77.48,-69.36,38.59,86,100,11.34,light rain,GL,2020-08-02 20:19:06
17,Namatanai,-3.67,152.43,79.07,84,25,7.36,light rain,PG,2020-08-02 20:19:06
18,Narsaq,60.92,-46.05,53.6,71,95,3.36,overcast clouds,GL,2020-08-02 20:19:06
19,Flinders,-34.58,150.86,46.0,85,52,1.01,broken clouds,AU,2020-08-02 20:19:06
20,Rikitea,-23.12,-134.97,72.75,78,54,10.42,broken clouds,PF,2020-08-02 20:19:06
