City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Sibolga,ID,2020-08-01 00:58:47,1.74,98.78,78.19,81,100,2.86
1,Bredasdorp,ZA,2020-08-01 00:58:47,-34.53,20.04,42.8,93,0,1.12
2,Tuktoyaktuk,CA,2020-08-01 00:58:47,69.45,-133.04,59.0,82,40,13.87
3,Bluff,NZ,2020-08-01 00:58:47,-46.6,168.33,52.0,84,100,1.19
4,Ushuaia,AR,2020-08-01 00:55:18,-54.8,-68.3,41.0,56,40,16.11
5,Busselton,AU,2020-08-01 00:58:48,-33.65,115.33,52.0,90,95,5.06
6,Esperance,AU,2020-08-01 00:58:48,-33.87,121.9,51.8,100,40,3.36
7,Basco,PH,2020-08-01 00:58:48,20.45,121.97,84.31,80,100,15.3
8,Punta Arenas,CL,2020-08-01 00:54:49,-53.15,-70.92,37.4,93,100,19.46
9,Nishihara,JP,2020-08-01 00:58:48,26.18,127.76,89.6,79,40,12.75
10,Rikitea,PF,2020-08-01 00:58:48,-23.12,-134.97,73.99,85,100,10.2
11,Puerto Ayora,EC,2020-08-01 00:58:48,-0.74,-90.35,69.01,89,94,1.99
12,Vaini,TO,2020-08-01 00:58:48,-21.2,-175.2,73.4,64,75,11.41
13,Jizan,SA,2020-08-01 00:58:48,17.33,42.67,78.8,88,99,3.36
14,Pochutla,MX,2020-08-01 00:58:48,15.74,-96.47,86.0,62,40,2.73
15,Calabozo,VE,2020-08-01 00:55:33,8.92,-67.43,75.69,94,100,2.93
16,Phan Thiet,VN,2020-08-01 00:58:49,10.93,108.1,79.39,85,100,13.89
17,Tougan,BF,2020-08-01 00:58:49,13.07,-3.07,73.72,85,100,10.6
18,Komsomolskiy,UZ,2020-08-01 00:58:49,40.43,71.72,75.2,44,0,11.41
19,Hermanus,ZA,2020-08-01 00:58:49,-34.42,19.23,54.09,83,0,5.32
20,Saint-Denis,FR,2020-08-01 00:58:49,48.92,2.33,77.0,60,1,4.7
21,Ndele,CF,2020-08-01 00:58:49,8.41,20.65,69.71,94,43,1.36
22,Avarua,CK,2020-08-01 00:58:49,-21.21,-159.78,73.4,56,0,3.36
23,East London,ZA,2020-08-01 00:58:49,-33.02,27.91,59.4,59,0,3.58
24,Hithadhoo,MV,2020-08-01 00:55:09,-0.6,73.08,82.9,73,59,8.14
25,Haradok,BY,2020-08-01 00:58:49,55.46,29.98,51.48,97,33,8.08
26,Krasnoye-Na-Volge,RU,2020-08-01 00:58:49,57.51,41.24,50.0,100,0,2.24
27,Luderitz,NA,2020-08-01 00:58:49,-26.65,15.16,71.6,18,0,12.75
28,Nikolskoye,RU,2020-08-01 00:58:50,59.7,30.79,55.99,76,99,11.18
29,Qaanaaq,GL,2020-08-01 00:58:50,77.48,-69.36,39.56,71,0,4.36
30,Morondava,MG,2020-08-01 00:58:50,-20.28,44.28,71.89,63,5,11.21
31,Mataura,NZ,2020-08-01 00:58:50,-46.19,168.86,58.37,68,100,5.03
32,Saskylakh,RU,2020-08-01 00:58:50,71.92,114.08,68.16,47,0,4.97
